id ,name ,sex,cooperation,type
pr,Pamela Reif,1,n/a,1
puma,Puma,n/a,sport,2
jc,Joel Corry,2,music,1
jad,Jason Derulo ,2,music,1
dr,Dennis Reif,2,bro,1
cln,Christopher Lund Nissen,2,music,1
dap,David Puentez ,2,music,1
douglas,Douglas ,n/a,beauty,2
nakd,NA-KD,n/a,fashion,2
calzedonia,Calzedonia,n/a,fashion,2
naturallyp,Naturally Pam,n/a,food,2
ghd,Ghd Hair,n/a,beauty,2
nyx,NYX Cosmetics,n/a,beauty,2
hej,HEJ natural,n/a,food,2
mercedesbenz,Mercedes Benz,n/a,car,2
alno,ALNO kitchens,n/a ,house,2
rainforest ,The rainforest Company,n/a,food,2
intimissimi,Intimissimi,n/a,fashion,2
tech,Technogym,n/a,sport,2
sante,SANTE Naturkosmetik,n/a,beauty,2
foodist,Foodist,n/a,food,2
pamgoesnuts,Pamgoesnuts,n/a,food,2
zalando,Zalando,n/a,fashion,2
liu,Liu Jo,n/a,fashion,2
juvia,JUVIA,n/a,fashion,2
koziel,KOZIEL,n/a,house,2
shape,SHAPE Magazin,n/a,fun,2
schaumermal,Schaumermal,n/a,fun,2
forbes,Forbes,n/a,fun,2
maldives,You & Me Maldives,n/a,travel,2
wmg,Warner Music Germany,n/a,fun,2
as,Alicia Schmidt,1,sport,1
js,Just Spices,n/a,food,2
f,Foodspring,n/a,food,2
puma,Puma,n/a,sport,2
bvb,BVB09,n/a,sport,2
moa,Manuel Obafemi Akanji,2,fitness,1
mh,Mats Hummels,2,fitness,1
eins,EinsUndEins,n/a,communication,2
u,unique by ATLANTIC HOTELS,n/a,travel,2
h,honor,n/a,communication,2
dc,De Cecco,n/a,food,2
hf,Hochschule Fresenius,n/a,education,2
ahfk,EinHerzFürKinder,n/a,volunteer,2
b,BettCo,n/a,house,2
ebhv,Elounda Beach Hotel & Villas,n/a,travel,2
s,Sugardad,n/a,food,2
em,Evelina Mamajeva,1,fitness,1
gymshark,Gymshark,n/a,sport,2
gtrain,Gymsharktrain,n/a,sport,2
gwomen,Gymsharkwomen,n/a,sport,2
nu3,nu3,n/a,food,2
ak,Alex Kula,2,"sportler, partner",1
hunde,Havanero Gini,n/a,dog,3
woldorf,Waldorf Astoria Dubai ,n/a,travel,2
dubai,Visit Dubai,n/a,travel,2
jo,Jessica Olie,1,sportler,1
douglasc,Douglas Cosmetics,n/a,beauty,2
secretslanzarote,Secrets Lanzarote Resort und Spa,n/a,travel,2
newsha,Newsha Haircair,n/a,beauty,2
holdstrong,Hold strong,n/a,sport,2
placetob,Place to be,n/a,news,2
okuhotels,OKU Kos,n/a,reisen,2
crossfitflensburg,Crossfit Flensburg,n/a,sport,2
rexona,Rexona,n/a,beauty,2
transformation,Transformation,n/a,sport,2
fit,Fit,n/a,sport,2
fitfemalesclub,Fit Females Club,n/a,sport,2
plnts,PLNTS,n/a,house,2
babyplnts,Baby PLNTS,n/a,house,2
porschegoeppingen,Porsche Goeppingen,n/a,car,2
porschenewsroom,Porsche Newsroom,n/a,car,2
porsche,Porsche,n/a,car,2
sandroparis,Sandro Paris,n/a,fashion,2
ferrari,Ferrari,n/a,car,2
fitjeans,FITJeans,n/a,fashion,2
networkpr,NetworkPR,n/a,communication,2
fab4media,Fab4Media,n/a,communication,2
mum,Make-Up Maddeline,1,style,1
ws,Whitney Simmons,1,fitness,1
doering,Doering Agency,n/a,communication,2
gr,Gerid Rux,1,fitness,1
nintendo,Nintendo,n/a,fun,2
dp,Doreen Petrova,1,lifestyle,1
therabody,Therabody,n/a,sport,2
optarise,Optarise,n/a,beauty,2
tg,Tim Gabel,2,0,1
nl,Nico Lazaridis,2,work,1
pm,Prinz Marcus,2,life,1
olakala,Olakala,n/a,fashion,2
fh,Florian Homm,2,life,1
mb,Montana Black,2,life,1
kw,Kevin Wolter,2,fitness,1
sh,Sascha Hellinger,2,life,1
ww,World Wide Wohnzimmer,2,life,1
rl,Reiner Laux,2,life,1
jt,Jürgen Todenhöfer,2,life,1
ni,Nimo,2,music,1
blinkist,Blinkist,n/a,fun,2
rb,Ron Bielecki,2,life,1
ft,Fabian Thylmann,2,life,1
mp,Maximilian Pollux,2,life,1
st,Steffen,2,life,1
eb,Emilia Bte,1,fitness,1
ms,Marian Schreier,2,politic,1
zecplus,ZecPlus,n/a,sport,2
gin,g-in GmbH,n/a,sport,2
ldp,Lisa Del Piero,1,fitness,1
shaperepublic,shaperepublic,n/a,food,2
t,Tara,1,fitness,1
eis,eis.de,n/a,erotik,2
gymondo,Gymondo,n/a,sport,2
melina,Melina Best Friseur,n/a,beauty,2
jd,Jasmin Diem,1,fitness,1
